replicate,Rep1,Rep1,Rep1,Rep1,Rep2,Rep2,Rep2,Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2
measurement,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter
ABCC9,P1P2,0.689041817,0.003087723,10,P1P2,0.815903609,-0.018674956,10,P1P2,0.636144332,-0.012273259,10
ABCD1,P1P2,0.120478773,-0.02209823,10,P1P2,0.581736732,0.002954962,10,P1P2,0.438970488,-0.015462635,10
ABCD2,P1P2,0.138477732,-0.009062594,9,P1P2,0.33852183,-0.013437198,9,P1P2,0.065166444,-0.015592166,9
ABCD3,P1P2,0.316313601,0.01590296,10,P1P2,0.833338131,-0.010454155,10,P1P2,0.470415337,0.003658624,10
ABCD4,P1P2,0.793568587,0.004553231,10,P1P2,0.054093962,-0.041285098,10,P1P2,0.238271036,-0.014244845,10
ABCE1,P1P2,5.17E-08,-0.451793198,10,P1P2,5.08E-08,-0.417077048,10,P1P2,4.98E-08,-0.424013739,10
ABCF1,P1,0.012760255,-0.123839669,10,P1,0.015798823,-0.183553374,10,P1,0.010214945,-0.153696522,10
ABCF2,P1P2,0.07685899,-0.044167515,10,P1P2,0.819632227,-0.008737384,10,P1P2,0.083677394,-0.024912835,10
ABCF3,P1P2,0.328547728,-0.005898983,10,P1P2,0.292681812,0.006932815,10,P1P2,0.955525223,0.002766886,10
ABCG1,P1P2,0.37156259,0.010604371,10,P1P2,0.355563848,-0.056660261,10,P1P2,0.945089175,-0.024008441,10
ABCG2,P1P2,0.518246863,0.00786343,9,P1P2,0.856445126,-0.025062928,9,P1P2,0.567024965,-0.007349464,9
ABCG4,P1P2,0.348138599,-0.007312365,10,P1P2,0.234344461,0.025355956,10,P1P2,0.860257752,0.001505754,10
